fff	12	0.0	0	0	100
hey	1023	0.0	0	0	100
new player here	13	0.0	0	0	100
nnnn	10000	0.0	0	0	100
new player	0	0.0	0	0	100
top	10099	2.2	0	0	100
bojinkata	0	0.0	0	0	100
eli	0	0.0	0	0	100
m	0	0.0	0	0	100
g	0	0.0	0	0	100
asda	0	0.0	0	0	100
todor	0	0.0	0	0	100
asfd	0	0.0	0	0	100
AD	0	0.0	0	0	100
sC	0	0.0	0	0	100
test	0	0.0	0	0	100
fhgfh	0	0.0	0	0	100
tfggf	0	0.0	0	0	100
ggff	0	0.0	0	0	100
ffh	0	0.0	0	0	100
gjhg	0	0.0	0	0	100
hiuyui	0	0.0	0	0	100
dgfdg	0	0.0	0	0	100
hfgfhf	0	0.0	0	0	100
tyrt	0	0.0	0	0	100
huiyu	0	0.0	0	0	100
