nnnn	10000	0.0	0	0	100
new player	2045	0.0	0	0	100
top	10099	2.2	0	0	100
bojinkata	0	0.0	0	0	100
todor	375430	0.0	0	0	100
eli	92770	0.0	0	0	100
kalin	13790	0.0	47	0	100
ivan	11490	0.0	104	0	100
ivan	5	0.0	12004	0	50
k	4585	0.0	12685	0	75
Todor	5888	0.0	0	0	100
ffgh	16846	0.0	8848	0	75
asd	2865	0.0	0	0	100
dfgd	26537	0.0	0	0	100
wet	0	0.0	0	0	100
sdtfg	0	0.0	149	0	100
sd	0	0.0	0	0	100
fgh	0	0.0	1773	0	100
sdrfg	0	0.0	2098	0	75
drf	0	0.0	1299	0	50
drfg	0	0.0	448	0	75
dfg	3186	0.0	0	0	100
drtg	4145	0.0	0	0	100
rdt	0	0.0	3166	0	75
gh	0	0.0	2103	0	75
dg	3500	0.0	2820	0	50
fdg	0	0.0	2609	0	50
ds	0	0.0	1082	0	50
sdf	891	0.0	1376	0	100
dgh	6107	0.0	218	0	100
dfdf	5720	0.0	0	0	100
dsf	0	0.0	4577	0	75
rt	2399	0.0	120	0	100
gd	0	0.0	754	0	100
xg	0	0.0	282	0	100
dsg	0	0.0	6411	0	100
